tempo,largura
3.96,1.00466
3.968,1.00179
3.976,0.992581
3.984,1.00658
3.992,0.997615
4.0,0.998981
4.008,1.00179
4.016,0.995242
4.024,1.00579
4.032,0.999508
4.04,0.994739
4.048,1.00519
4.056,0.998118
4.064,0.999508
4.072,1.00191
4.08,0.994739
4.088,1.0014
4.096,0.996512
4.104,1.0014
4.112,1.00761
4.12,0.996512
4.128,1.00277
4.136,0.998981
4.144,0.998142
4.152,1.00416
4.16,0.995242
4.168,1.0033
4.176,1.00416
4.184,0.994163
4.192,1.00277
4.2,0.995242
4.208,1.00277
4.216,1.00179
4.224,0.99215
4.232,1.00459
4.24,1.00253
4.248,0.999293
4.256,1.00342
4.264,0.995242
4.272,1.00191
4.28,1.00037
4.288,0.99215
4.296,1.0038
4.304,0.996249
4.312,1.00277
4.32,1.00037
4.328,0.995242
4.336,1.00622
4.344,0.997111
4.352,0.995745
4.36,1.00416
4.368,0.99855
4.376,1.0033
4.384,1.0009
4.392,0.997111
4.4,1.00416
4.408,0.995338
4.416,0.999293
4.424,1.00579
4.432,0.996608
4.44,1.00519
4.448,0.997375
4.456,1.00061
4.464,1.00277
4.472,0.994906
4.48,1.00253
4.488,1.00133
4.496,0.998142
4.504,1.00179
4.512,0.997615
4.52,1.00224
4.528,1.01533
4.536,0.999508
4.544,1.0148
4.552,1.00416
4.56,1.00191
4.568,1.00466
4.576,0.996249
4.584,1.00907
4.592,0.999508
4.6,1.00037
4.608,1.00466
4.616,1.0014
4.624,1.0033
4.632,1.00037
4.64,0.994739
4.648,1.00296
4.656,0.996249
4.664,1.0014
4.672,1.00605
4.68,0.997615
4.688,1.00572
4.696,0.997615
4.704,0.996944
4.712,1.00416
4.72,0.992581
4.728,1.00277
4.736,1.0014
4.744,0.998478
4.752,1.00277
4.76,0.997615
4.768,1.00191
4.776,1.00087
4.784,0.995242
4.792,1.00761
4.8,0.997615
4.808,0.996608
4.816,1.0038
4.824,0.995769
4.832,1.00133
4.84,0.998981
4.848,0.995242
4.856,1.00548
4.864,0.994739
4.872,1.0009
4.88,0.998142
4.888,0.995242
4.896,1.00416
4.904,0.992534
4.912,0.997663
4.92,1.00742
4.928,0.996249
4.936,1.00416
4.944,1.00061
4.952,0.999293
4.96,1.00179
4.968,0.995769
4.976,1.00253
4.984,1.00296
4.992,0.998118
5.0,1.00459
5.008,0.99855
5.016,1.00061
5.024,1.00579
5.032,0.991719
5.04,1.0083
5.048,1.00179
5.056,1.00061
5.064,1.00459
5.072,0.99855
5.08,1.00416
5.088,1.0009
5.096,0.993301
5.104,1.00505
5.112,0.994451
5.12,1.00061
5.128,1.00385
5.136,0.996057
5.144,1.00231
5.152,0.996944
5.16,0.992869
5.168,1.00505
5.176,0.994739
5.184,1.0014
5.192,0.999293
5.2,0.994906
5.208,1.0038
5.216,0.995769
5.224,0.998118
5.232,1.00572
5.24,0.993732
5.248,1.00667
5.256,0.999293
5.264,1.00016
5.272,0.999724
5.28,0.995745
5.288,1.00087
5.296,1.00385
5.304,0.996512
5.312,1.00579
5.32,0.999724
5.328,1.00179
5.336,1.00061
5.344,0.993732
5.352,1.00787
5.36,1.00296
5.368,0.998981
5.376,1.0033
5.384,0.999293
5.392,1.00416
5.4,1.00061
5.408,0.994451
5.416,1.00416
5.424,0.999293
5.432,1.00296
5.44,1.00061
5.448,0.996944
5.456,1.00253
5.464,0.996944
5.472,0.998118
5.48,1.00713
5.488,0.997111
5.496,1.00742
5.504,0.999293
5.512,0.997663
5.52,1.00133
5.528,0.999293
5.536,1.00016
5.544,1.00253
5.552,0.993732
5.56,1.00876
5.568,0.99855
5.576,1.00459
5.584,0.999293
5.592,0.993301
5.6,1.00579
5.608,1.00253
5.616,0.995242
5.624,1.00505
5.632,0.998478
5.64,1.00742
5.648,0.999508
5.656,0.992869
5.664,1.00459
5.672,0.996608
5.68,0.998981
5.688,1.0038
5.696,0.996512
5.704,1.00277
5.712,0.997663
5.72,0.996057
5.728,1.00505
5.736,0.993301
5.744,1.00061
5.752,0.997663
5.76,0.99855
5.768,1.00133
5.776,0.997615
5.784,1.00037
5.792,1.00519
5.8,0.994451
5.808,1.00787
5.816,0.995338
5.824,1.01705
5.832,0.988962
5.84,0.993372
5.848,1.0014
5.856,1.00222
5.864,0.993732
5.872,1.00459
5.88,1.01207
5.888,1.00787
5.896,1.00191
5.904,0.997663
5.912,1.00907
5.92,1.00061
5.928,1.00222
5.936,1.00953
