tempo, vel
2.639994, 0.946993
2.647994, 0.931054
2.655994, 0.928513
2.663994, 0.921850
2.671994, 0.907373
2.679994, 0.905384
2.687994, 0.901405
2.695994, 0.884867
2.703994, 0.882039
2.711993, 0.876334
2.719993, 0.858669
2.727993, 0.859676
2.735993, 0.848291
2.743993, 0.835636
2.751993, 0.835660
2.759993, 0.829787
2.767993, 0.815167
2.775993, 0.805172
2.783993, 0.801600
2.791992, 0.788705
2.799992, 0.778615
2.807992, 0.778231
2.815992, 0.766079
2.823992, 0.755245
2.831992, 0.751746
2.839992, 0.748846
2.847992, 0.731828
2.855992, 0.722888
2.863991, 0.722888
2.871991, 0.710928
2.879991, 0.697529
2.887991, 0.699663
2.895991, 0.688781
2.903991, 0.675239
2.911991, 0.665651
2.919991, 0.661673
2.927991, 0.660450
2.935991, 0.648322
2.943990, 0.632910
2.951990, 0.632311
2.959990, 0.625888
2.967990, 0.610452
2.975990, 0.602494
2.983990, 0.601967
2.991990, 0.591062
2.999990, 0.583535
3.007990, 0.571935
3.015990, 0.566446
3.023989, 0.560406
3.031989, 0.555756
3.039989, 0.541854
3.047989, 0.537013
3.055989, 0.527545
3.063989, 0.522104
3.071989, 0.511534
3.079989, 0.497824
3.087989, 0.490466
3.095989, 0.485313
3.103988, 0.482652
3.111988, 0.471507
3.119988, 0.462854
3.127988, 0.453914
3.135988, 0.444614
3.143988, 0.441810
3.151988, 0.433685
3.159988, 0.427405
3.167988, 0.417794
3.175987, 0.408398
3.183987, 0.399386
3.191987, 0.392723
3.199987, 0.385436
3.207987, 0.379061
3.215987, 0.366861
3.223987, 0.357393
3.231987, 0.346511
3.239987, 0.342820
3.247987, 0.336325
3.255986, 0.327744
3.263986, 0.318708
3.271986, 0.311949
3.279986, 0.302745
3.287986, 0.291264
3.295986, 0.283786
3.303986, 0.278968
3.311986, 0.270747
3.319986, 0.268902
3.327986, 0.255935
3.335985, 0.249535
3.343985, 0.241434
3.351985, 0.230097
3.359985, 0.226573
3.367985, 0.212911
3.375985, 0.206200
3.383985, 0.195822
3.391985, 0.188104
3.399985, 0.181680
3.407984, 0.178301
3.415984, 0.167659
3.423984, 0.159054
3.431984, 0.154404
3.439984, 0.148244
3.447984, 0.139208
3.455984, 0.129357
3.463984, 0.120537
3.471984, 0.110159
3.479984, 0.104023
3.487983, 0.093620
3.495983, 0.088084
3.503983, 0.075668
3.511983, 0.070898
3.519983, 0.062413
3.527983, 0.053209
3.535983, 0.044940
3.543983, 0.039404
3.551983, 0.028666
3.559983, 0.023321
3.567982, 0.016322
3.575982, 0.006159
3.583982, 0.003499
3.591982, -0.037774
3.599982, -0.029385
3.607982, -0.040362
3.615982, -0.039068
3.623982, -0.043430
3.631982, -0.047098
3.639982, -0.054096
3.647981, -0.060712
3.655981, -0.071090
3.663981, -0.073702
3.671981, -0.083122
3.679981, -0.090960
3.687981, -0.098917
3.695981, -0.109943
3.703981, -0.116031
3.711981, -0.127751
3.719980, -0.132138
3.727980, -0.140982
3.735980, -0.152798
3.743980, -0.161619
3.751980, -0.170919
3.759980, -0.175592
3.767980, -0.186210
3.775980, -0.194192
3.783980, -0.197571
3.791980, -0.207902
3.799979, -0.215332
3.807979, -0.223146
3.815979, -0.233932
3.823979, -0.243016
3.831979, -0.248025
3.839979, -0.260656
3.847979, -0.267152
3.855979, -0.276571
3.863979, -0.281749
3.871979, -0.283570
3.879978, -0.292486
3.887978, -0.299174
3.895978, -0.312932
3.903978, -0.317270
3.911978, -0.330500
3.919978, -0.340208
3.927978, -0.348764
3.935978, -0.351185
3.943978, -0.359191
3.951977, -0.364392
3.959977, -0.373356
3.967977, -0.384190
3.975977, -0.394784
3.983977, -0.403341
3.991977, -0.406576
3.999977, -0.416811
4.007977, -0.422300
4.015977, -0.435123
4.023977, -0.447251
4.031977, -0.452764
4.039977, -0.452883
4.047976, -0.464484
4.055976, -0.470644
4.063976, -0.480231
4.071976, -0.491089
4.079976, -0.499957
4.087976, -0.503505
4.095976, -0.516016
4.103976, -0.519276
4.111976, -0.532315
4.119976, -0.533130
4.127975, -0.540967
4.135975, -0.553143
4.143975, -0.562659
4.151975, -0.571024
4.159975, -0.574308
4.167975, -0.582313
4.175975, -0.586436
4.183975, -0.604771
4.191975, -0.613879
4.199975, -0.616660
4.207974, -0.623179
4.215974, -0.631784
4.223974, -0.641275
4.231974, -0.642690
4.239974, -0.656423
4.247974, -0.668408
4.255974, -0.678498
4.263974, -0.673944
4.271974, -0.686336
4.279974, -0.699399
4.287973, -0.706925
4.295973, -0.711791
4.303973, -0.713013
4.311973, -0.729072
4.319973, -0.738276
4.327973, -0.743812
4.335973, -0.757618
4.343973, -0.763467
4.351973, -0.764857
4.359972, -0.773797
4.367972, -0.788969
4.375972, -0.789736
4.383972, -0.799755
4.391972, -0.810421
4.399972, -0.814184
4.407972, -0.824898
4.415972, -0.838656
4.423972, -0.840837
4.431972, -0.845606
4.439971, -0.859292
4.447971, -0.866315
4.455971, -0.874249
4.463971, -0.879642
4.471971, -0.885921
4.479971, -0.896420
4.487971, -0.910273
4.495971, -0.911831
4.503971, -0.915762
4.511971, -0.935776
4.519970, -0.936950
4.527970, -0.940450
4.535970, -0.953896
4.543970, -0.958426
4.551970, -0.968828
4.559970, -0.981004
4.567970, -0.981843
4.575970, -0.997375
4.583970, -0.997662
4.591969, -1.004589
4.599969, -1.015687
4.607969, -1.027503
4.615969, -1.036108
4.623969, -1.038792
4.631969, -1.040542
4.639969, -1.064319
4.647969, -1.064630
4.655969, -1.076255
4.663969, -1.077621
4.671968, -1.087089
4.679968, -1.098330
4.687968, -1.100631
4.695968, -1.115012
4.703968, -1.120213
4.711968, -1.127619
4.719968, -1.133875
4.727968, -1.143558
4.735968, -1.153721
4.743968, -1.153721
4.751967, -1.178672
4.759967, -1.175005
4.767967, -1.185383
4.775967, -1.195234
4.783967, -1.204486
4.791967, -1.204846
4.799967, -1.215775
4.807967, -1.225243
4.815967, -1.230013
4.823967, -1.239432
4.831966, -1.249739
4.839966, -1.259446
4.847966, -1.254628
4.855966, -1.280226
4.863966, -1.279723
4.871966, -1.286866
4.879966, -1.296022
4.887966, -1.307646
4.895966, -1.305705
4.903965, -1.328307
4.911965, -1.327900
4.919965, -1.333364
4.927965, -1.344630
4.935965, -1.354624
4.943965, -1.356302
4.951965, -1.370755
4.959965, -1.377586
4.967965, -1.382020
4.975965, -1.398990
4.983964, -1.396569
4.991964, -1.411597
4.999964, -1.415289
5.007964, -1.427584
5.015964, -1.454237
5.023964, -1.451217
5.031964, -1.451265
5.039964, -1.467420
5.047964, -1.472765
5.055964, -1.475449
5.063963, -1.492203
5.071963, -1.488992
5.079963, -1.506081
5.087963, -1.505602
5.095963, -1.515932
5.103963, -1.524968
5.111963, -1.523530
5.119963, -1.544838
5.127963, -1.541914
5.135962, -1.551765
5.143962, -1.563749
5.151962, -1.562287
5.159962, -1.584026
5.167962, -1.582588
5.175962, -1.589683
5.183962, -1.602075
5.191962, -1.577028
5.199962, -1.576093
5.207962, -1.561232
5.215961, -1.552748
5.223961, -1.552748
5.231961, -1.533165
5.239961, -1.534124
5.247961, -1.519719
5.255961, -1.508885
5.263961, -1.513631
5.271961, -1.491748
5.279961, -1.488992
5.287961, -1.475881
5.295960, -1.471950
5.303960, -1.470536
5.311960, -1.451649
5.319960, -1.447406
5.327960, -1.439185
5.335960, -1.433648
5.343960, -1.424421
5.351960, -1.420154
5.359960, -1.403304
5.367959, -1.406276
5.375959, -1.388588
5.383959, -1.380702
5.391959, -1.379839
5.399959, -1.362654
5.407959, -1.357141
5.415959, -1.350454
5.423959, -1.344222
5.431959, -1.332741
5.439959, -1.334371
5.447958, -1.314717
5.455958, -1.316203
5.463958, -1.301822
5.471958, -1.294488
5.479958, -1.284613
5.487958, -1.284613
5.495958, -1.267715
5.503958, -1.264815
5.511958, -1.254029
5.519958, -1.251177
5.527957, -1.234303
5.535957, -1.236676
5.543957, -1.218819
5.551957, -1.218819
5.559957, -1.210095
5.567957, -1.194851
5.575957, -1.192502
5.583957, -1.181788
5.591957, -1.181788
5.599957, -1.164555
